date,claim_id,claim_text,claim_type,section,reason,source,matched_evidence_count,available_trace_keys,support_type,trace_support_type,error_type
2023-09-29,claim_0033,涉及气体为 无。,unknown,,E11_HEADING_FALSE_POSITIVE,quality.claim_results,0,claim_id;claim_text;claim_type;error_type;grounded;messages;severity;source_trace;suggestions;support_type;supporting_evidence_ids;trace_support_type,none,none,E11_HEADING_FALSE_POSITIVE
2023-10-02,claim_0033,涉及气体为 无。,unknown,,E11_HEADING_FALSE_POSITIVE,quality.claim_results,0,claim_id;claim_text;claim_type;error_type;grounded;messages;severity;source_trace;suggestions;support_type;supporting_evidence_ids;trace_support_type,none,none,E11_HEADING_FALSE_POSITIVE
2023-10-06,claim_0031,涉及气体为 无。,unknown,,E11_HEADING_FALSE_POSITIVE,quality.claim_results,0,claim_id;claim_text;claim_type;error_type;grounded;messages;severity;source_trace;suggestions;support_type;supporting_evidence_ids;trace_support_type,none,none,E11_HEADING_FALSE_POSITIVE
2023-10-19,claim_0042,涉及气体为 无。,unknown,,E11_HEADING_FALSE_POSITIVE,quality.claim_results,0,claim_id;claim_text;claim_type;error_type;grounded;messages;severity;source_trace;suggestions;support_type;supporting_evidence_ids;trace_support_type,none,none,E11_HEADING_FALSE_POSITIVE
2023-10-20,claim_0042,涉及气体为 无。,unknown,,E11_HEADING_FALSE_POSITIVE,quality.claim_results,0,claim_id;claim_text;claim_type;error_type;grounded;messages;severity;source_trace;suggestions;support_type;supporting_evidence_ids;trace_support_type,none,none,E11_HEADING_FALSE_POSITIVE
2023-10-21,claim_0039,涉及气体为 无。,unknown,,E11_HEADING_FALSE_POSITIVE,quality.claim_results,0,claim_id;claim_text;claim_type;error_type;grounded;messages;severity;source_trace;suggestions;support_type;supporting_evidence_ids;trace_support_type,none,none,E11_HEADING_FALSE_POSITIVE
2023-10-22,claim_0042,涉及气体为 无。,unknown,,E11_HEADING_FALSE_POSITIVE,quality.claim_results,0,claim_id;claim_text;claim_type;error_type;grounded;messages;severity;source_trace;suggestions;support_type;supporting_evidence_ids;trace_support_type,none,none,E11_HEADING_FALSE_POSITIVE
2023-10-23,claim_0036,涉及气体为 无。,unknown,,E11_HEADING_FALSE_POSITIVE,quality.claim_results,0,claim_id;claim_text;claim_type;error_type;grounded;messages;severity;source_trace;suggestions;support_type;supporting_evidence_ids;trace_support_type,none,none,E11_HEADING_FALSE_POSITIVE
2023-10-24,claim_0039,涉及气体为 无。,unknown,,E11_HEADING_FALSE_POSITIVE,quality.claim_results,0,claim_id;claim_text;claim_type;error_type;grounded;messages;severity;source_trace;suggestions;support_type;supporting_evidence_ids;trace_support_type,none,none,E11_HEADING_FALSE_POSITIVE
2023-10-25,claim_0036,涉及气体为 无。,unknown,,E11_HEADING_FALSE_POSITIVE,quality.claim_results,0,claim_id;claim_text;claim_type;error_type;grounded;messages;severity;source_trace;suggestions;support_type;supporting_evidence_ids;trace_support_type,none,none,E11_HEADING_FALSE_POSITIVE
